date_time,WS_10_mean,WS_40a_mean,WS_20_mean,WD_20_mean,WS_60_mean,WD_60_mean,Tair_mean,Pbaro_mean
2023-01-01 00:10:00,7.2179,10.7606,8.8226,87.22,12.1192,89.52,16.8,986.7
2023-01-01 00:20:00,7.4039,10.8846,8.9778,85.72,12.0759,87.32,16.78,986.7
2023-01-01 00:30:00,6.9698,10.7234,8.5372,87.12,11.9396,88.22,16.79,986.6
2023-01-01 00:40:00,7.4412,11.5231,9.2694,84.42,12.5712,86.22,16.79,986.4
2023-01-01 00:50:00,7.3171,11.2813,9.2508,83.92,12.3235,85.02,16.71,986.3
2023-01-01 01:00:00,7.7575,11.6532,9.5487,84.52,12.6765,84.82,16.59,986.2
2023-01-01 01:10:00,7.6148,11.4859,9.3501,83.42,12.5093,83.72,16.47,986.1
2023-01-01 01:20:00,7.0194,11.2565,8.9467,82.72,12.4969,82.92,16.41,986.0
2023-01-01 01:30:00,7.3233,11.4115,9.0709,83.92,12.6022,83.92,16.36,985.9
2023-01-01 01:40:00,7.4846,11.7462,9.468,84.92,12.9056,85.32,16.44,985.8
2023-01-01 01:50:00,7.3729,12.0685,9.5487,85.52,13.2524,86.32,16.45,985.7
2023-01-01 02:00:00,8.2288,12.2173,10.1134,87.02,13.4258,86.92,16.44,985.5
2023-01-01 02:10:00,7.7327,11.8454,9.5921,87.12,13.2524,86.72,16.38,985.4
2023-01-01 02:20:00,7.3295,11.9322,9.3625,87.32,13.4877,86.52,16.45,985.3
2023-01-01 02:30:00,6.7279,10.7111,8.2455,84.62,12.4722,85.72,16.32,985.3
2023-01-01 02:40:00,6.1201,9.961,7.6808,84.52,11.791,84.22,16.18,985.3
2023-01-01 02:50:00,6.0023,10.1966,7.656,84.92,12.1316,84.92,16.23,985.2
2023-01-01 03:00:00,6.362,10.054,7.7553,86.42,11.9768,85.82,16.26,985.1
2023-01-01 03:10:00,5.7914,9.397,7.2526,81.42,11.2833,83.22,16.14,985.1
2023-01-01 03:20:00,6.1697,10.054,7.8049,82.22,11.9706,82.32,16.23,985.0
2023-01-01 03:30:00,6.8892,10.9342,8.531,85.52,12.3917,85.02,16.37,984.8
2023-01-01 03:40:00,7.0008,11.3433,8.8164,86.82,12.6146,84.92,16.42,984.6
2023-01-01 03:50:00,7.1683,11.7524,9.0088,90.02,12.8561,87.22,16.43,984.4
2023-01-01 04:00:00,7.3047,11.9941,9.0895,90.12,13.0357,87.12,16.39,984.3
2023-01-01 04:10:00,7.4598,11.8826,9.226,87.92,13.3639,86.72,16.34,984.3
2023-01-01 04:20:00,7.0318,11.2379,8.8847,87.22,12.6579,86.62,16.29,984.3
2023-01-01 04:30:00,7.007,11.3185,8.7792,85.92,12.9242,85.42,16.26,984.1
2023-01-01 04:40:00,7.2923,11.709,9.1267,85.52,13.3577,85.92,16.32,984.2
2023-01-01 04:50:00,7.4163,11.5231,9.1205,85.52,12.9242,85.62,16.3,984.2
2023-01-01 05:00:00,7.3047,11.8454,9.1577,89.22,13.3886,89.12,16.36,984.1
2023-01-01 05:10:00,6.5605,10.8164,8.0717,90.82,12.4164,90.92,16.39,984.2
2023-01-01 05:20:00,6.1015,9.6139,7.4946,84.82,11.1904,86.02,16.16,984.4
2023-01-01 05:30:00,6.4612,10.3391,8.0655,81.92,11.9892,84.12,16.17,984.3
2023-01-01 05:40:00,6.8706,11.0396,8.6178,81.82,12.627,84.12,16.15,984.2
2023-01-01 05:50:00,7.0256,11.1078,8.804,84.22,12.5341,85.42,16.13,984.2
2023-01-01 06:00:00,7.0876,10.8412,8.6985,87.82,12.404,88.42,16.17,984.0
2023-01-01 06:10:00,7.3791,11.3557,8.9219,88.22,13.1595,90.02,16.2,983.9
2023-01-01 06:20:00,7.4846,11.7276,9.4246,86.22,13.5063,89.72,16.19,983.8
2023-01-01 06:30:00,7.8629,12.3413,9.8031,85.42,13.9026,87.12,16.16,983.7
2023-01-01 06:40:00,8.3591,12.8867,10.523,86.62,14.3361,86.22,16.28,983.7
2023-01-01 06:50:00,8.2598,12.0437,9.9024,87.22,13.4505,87.92,16.3,983.7
2023-01-01 07:00:00,7.9249,11.2441,9.3873,88.52,12.4226,89.02,16.36,983.9
2023-01-01 07:10:00,8.9607,11.9445,10.3182,86.72,12.7013,89.12,16.54,983.8
2023-01-01 07:20:00,8.6816,11.9632,10.5292,87.12,12.4164,88.92,16.76,983.8
2023-01-01 07:30:00,8.9235,12.1677,10.6409,86.32,12.7508,87.82,16.94,983.9
2023-01-01 07:40:00,8.4459,11.7586,10.1507,81.52,12.2802,83.52,17.09,983.9
2023-01-01 07:50:00,9.2336,12.5582,11.0257,82.42,13.2338,83.42,17.29,983.8
2023-01-01 08:00:00,9.2956,13.2028,11.2801,81.52,13.9645,84.02,17.48,983.7
2023-01-01 08:10:00,10.2197,14.176,12.1613,84.42,14.6271,85.22,17.8,983.5
2023-01-01 08:20:00,11.1686,15.081,13.148,82.92,15.9213,85.32,18.15,983.4
2023-01-01 08:30:00,10.2135,13.8599,12.2482,84.62,14.4909,86.92,18.35,983.4
2023-01-01 08:40:00,10.1577,13.6367,12.1241,79.52,14.2741,81.22,18.5,983.4
2023-01-01 08:50:00,11.0942,14.6781,12.906,83.92,15.3764,85.72,18.72,983.3
2023-01-01 09:00:00,10.8957,14.5975,12.8936,79.12,15.0977,81.52,18.89,983.3
2023-01-01 09:10:00,11.119,14.4611,13.0611,81.92,14.9924,84.12,19.07,983.2
2023-01-01 09:20:00,9.9654,13.4756,11.6338,82.02,14.398,82.72,19.18,983.2
2023-01-01 09:30:00,10.8523,14.4673,12.6391,82.62,14.9491,83.62,19.38,983.1
2023-01-01 09:40:00,10.0336,13.4198,11.7641,81.12,14.0945,82.12,19.61,983.1
2023-01-01 09:50:00,10.4182,14.3186,12.1303,88.02,15.1782,90.42,19.72,983.0
2023-01-01 10:00:00,11.64,15.4219,13.4645,86.02,15.9337,87.62,19.82,982.7
2023-01-01 10:10:00,11.0074,15.1678,13.0301,85.72,15.7417,87.32,19.91,982.6
2023-01-01 10:20:00,10.6662,14.393,12.304,88.52,15.2835,90.02,20.1,982.6
2023-01-01 10:30:00,10.4988,14.3,12.2544,87.02,15.1225,89.92,20.19,982.4
2023-01-01 10:40:00,10.9205,14.5107,12.7881,88.32,15.203,90.52,20.23,982.3
2023-01-01 10:50:00,10.505,14.1822,12.3847,88.82,14.8005,89.62,20.65,982.3
2023-01-01 11:00:00,11.3733,14.895,13.2535,83.12,15.4259,86.02,20.5,982.1
2023-01-01 11:10:00,10.6662,14.5107,12.515,86.32,15.1658,89.32,20.69,982.0
2023-01-01 11:20:00,11.15,14.7959,12.8129,91.22,15.4878,92.72,20.76,981.9
2023-01-01 11:30:00,11.2368,14.6967,13.0239,90.52,15.4507,92.32,20.98,981.8
2023-01-01 11:40:00,10.7903,14.4983,12.5398,86.42,15.1968,88.32,21.15,981.8
2023-01-01 11:50:00,11.0756,14.9198,13.0611,94.32,15.4073,95.72,21.1,981.7
2023-01-01 12:00:00,10.8709,14.5851,12.7695,94.32,15.1596,96.12,21.13,981.6
2023-01-01 12:10:00,10.5608,14.0396,12.3847,94.82,14.5961,95.72,21.08,981.5
2023-01-01 12:20:00,10.567,13.9343,12.2482,96.62,14.6023,98.52,21.29,981.5
2023-01-01 12:30:00,9.8972,12.7752,11.1498,97.32,13.4444,97.12,21.3,981.5
2023-01-01 12:40:00,9.5375,12.4962,11.0815,93.22,13.0233,95.32,21.67,981.4
2023-01-01 12:50:00,10.2321,13.2152,11.7828,92.32,13.8221,94.02,21.4,981.3
2023-01-01 13:00:00,10.1391,12.9859,11.5407,90.82,13.4691,95.72,21.48,981.2
2023-01-01 13:10:00,9.953,12.8805,11.5842,95.42,13.0914,97.82,21.51,981.2
2023-01-01 13:20:00,9.4878,12.0499,10.8829,98.42,12.466,100.42,21.82,981.2
2023-01-01 13:30:00,9.7731,12.7628,11.3111,98.22,13.1595,99.92,21.6,981.1
2023-01-01 13:40:00,9.432,12.8123,11.125,105.22,13.4258,106.72,21.66,981.1
2023-01-01 13:50:00,10.0832,13.5066,11.851,106.72,14.0326,107.22,21.54,981.0
2023-01-01 14:00:00,9.3204,12.397,10.8891,102.82,12.8251,105.02,21.68,981.0
2023-01-01 14:10:00,10.0894,13.0107,11.6835,103.32,13.3762,106.62,21.49,981.0
2023-01-01 14:20:00,9.7793,12.7442,11.4787,101.32,13.1843,103.02,21.37,980.9
2023-01-01 14:30:00,9.339,12.1243,10.5664,97.82,12.8313,101.32,21.55,980.8
2023-01-01 14:40:00,10.0894,13.1347,11.7021,101.92,13.5558,103.32,21.15,980.7
2023-01-01 14:50:00,9.829,12.6264,11.3483,102.82,13.0914,103.92,21.25,980.7
2023-01-01 15:00:00,10.046,13.1347,11.6773,105.42,13.3639,106.72,21.08,980.7
2023-01-01 15:10:00,10.4616,13.0789,11.9689,102.12,13.3824,103.72,21.14,980.7
2023-01-01 15:20:00,10.1453,13.0417,11.7393,100.22,13.3639,102.32,20.93,980.6
2023-01-01 15:30:00,9.7607,12.7132,11.3111,98.42,13.0171,100.22,21.14,980.5
2023-01-01 15:40:00,9.8662,12.3847,11.1808,99.32,12.7942,101.72,20.98,980.5
2023-01-01 15:50:00,9.9592,12.8,11.3173,109.02,13.4134,110.62,20.75,980.5
2023-01-01 16:00:00,9.3204,12.7318,10.9946,103.82,13.3205,107.12,20.58,980.5
2023-01-01 16:10:00,10.0646,13.3206,11.5221,107.42,13.7664,109.52,20.58,980.4
2023-01-01 16:20:00,10.0522,12.7875,11.6152,105.92,13.1286,107.32,20.6,980.3
2023-01-01 16:30:00,10.8709,14.2752,12.8253,107.02,14.5652,108.92,20.21,980.3
2023-01-01 16:40:00,10.015,13.3082,11.6524,101.52,13.8407,103.02,20.44,980.3
2023-01-01 16:50:00,10.2755,13.612,11.8634,104.82,14.2555,106.92,20.03,980.2
2023-01-01 17:00:00,10.9702,14.6843,13.0177,108.22,15.042,108.82,19.94,980.2
2023-01-01 17:10:00,10.046,13.6987,11.7952,106.92,14.5652,109.22,19.73,980.3
2023-01-01 17:20:00,10.5484,14.0582,12.3164,105.92,14.5218,106.62,19.72,980.2
2023-01-01 17:30:00,10.3251,13.5996,12.0434,104.62,14.2184,107.42,19.73,980.2
2023-01-01 17:40:00,9.7173,13.2896,11.429,97.72,13.884,101.82,19.65,980.2
2023-01-01 17:50:00,11.0074,14.5169,12.7136,104.62,15.0977,105.92,19.42,980.2
2023-01-01 18:00:00,10.474,13.8909,12.2109,98.12,14.4042,100.42,19.32,980.3
2023-01-01 18:10:00,9.9902,13.7421,11.7393,98.52,14.5342,99.92,19.26,980.3
2023-01-01 18:20:00,9.4382,12.9983,11.0443,97.82,13.884,100.32,19.29,980.5
2023-01-01 18:30:00,10.1887,14.2814,12.0992,94.92,15.0667,97.42,19.17,980.6
2023-01-01 18:40:00,9.1839,13.2152,11.0195,95.62,13.9645,98.12,19.1,980.6
2023-01-01 18:50:00,10.0088,14.238,12.0,97.92,14.9924,99.22,18.98,980.7
2023-01-01 19:00:00,10.3499,14.207,12.304,99.82,14.7262,101.62,18.88,980.9
2023-01-01 19:10:00,10.1639,14.114,12.1241,102.52,14.6766,104.22,18.73,981.0
2023-01-01 19:20:00,10.0522,14.0335,11.8324,103.02,14.5404,103.82,18.65,981.1
2023-01-01 19:30:00,8.88,12.1801,10.3927,100.22,12.8747,101.72,18.62,981.3
2023-01-01 19:40:00,9.0723,12.3598,10.6285,99.32,13.2462,101.52,18.51,981.5
2023-01-01 19:50:00,9.0599,12.7256,10.7526,99.92,13.432,101.02,18.42,981.6
2023-01-01 20:00:00,8.6133,11.6904,10.0327,98.62,12.2183,101.82,18.4,981.7
2023-01-01 20:10:00,8.4273,11.8268,10.2003,100.42,12.4598,101.72,18.34,981.8
2023-01-01 20:20:00,9.0103,12.3413,10.8395,100.42,13.0357,101.22,18.27,981.7
2023-01-01 20:30:00,8.7002,12.0003,10.4547,99.62,13.0295,100.32,18.18,981.8
2023-01-01 20:40:00,8.3715,12.0685,10.0389,99.32,12.9799,100.62,18.13,981.8
2023-01-01 20:50:00,8.3777,11.895,9.9397,94.82,12.8065,97.32,18.13,981.9
2023-01-01 21:00:00,8.0676,11.3619,9.6604,95.52,12.1254,98.42,18.12,981.9
2023-01-01 21:10:00,8.0676,11.5292,9.6542,94.82,12.4536,96.92,18.13,982.1
2023-01-01 21:20:00,8.3156,12.1801,10.1507,92.82,12.6889,95.42,18.14,982.0
2023-01-01 21:30:00,8.6196,12.5024,10.3741,95.82,13.4567,97.12,18.11,982.1
2023-01-01 21:40:00,8.3343,12.5334,10.132,97.12,13.4196,98.22,18.12,982.1
2023-01-01 21:50:00,9.0475,12.9549,10.8085,95.42,13.7911,97.32,18.09,982.1
2023-01-01 22:00:00,9.1529,12.9301,10.8271,95.72,13.8407,97.12,18.08,982.2
2023-01-01 22:10:00,8.4273,12.6636,10.1134,96.72,13.6549,97.72,18.05,982.2
2023-01-01 22:20:00,8.1668,11.9694,9.7225,96.42,12.8375,98.52,18.02,982.3
2023-01-01 22:30:00,9.494,12.9859,11.125,97.02,13.9769,98.92,17.99,982.2
2023-01-01 22:40:00,9.5561,13.1099,11.0567,95.62,14.1936,98.62,17.95,982.1
2023-01-01 22:50:00,9.3514,13.3764,11.2615,95.02,14.0636,97.72,17.9,982.0
2023-01-01 23:00:00,9.2025,13.3392,11.0753,92.22,14.206,95.32,17.88,982.0
2023-01-01 23:10:00,8.6568,12.8,10.4299,91.42,13.8159,93.72,17.81,981.9
2023-01-01 23:20:00,8.7374,12.9983,10.5851,91.22,13.9893,93.92,17.77,981.8
2023-01-01 23:30:00,9.1095,13.2958,10.8271,92.22,14.3051,95.82,17.8,981.8
2023-01-01 23:40:00,8.7312,12.521,10.1817,93.52,13.562,95.12,17.75,981.7
2023-01-01 23:50:00,9.0785,12.7442,10.6719,89.82,13.6054,92.62,17.73,981.7
2023-01-02 00:00:00,9.8228,13.6801,11.5407,95.72,14.6271,97.82,17.7,981.6
2023-01-02 00:10:00,9.5127,13.4632,11.4104,97.82,14.398,99.72,17.66,981.5
2023-01-02 00:20:00,9.1095,12.8991,10.9388,87.82,13.8035,91.12,17.69,981.5
2023-01-02 00:30:00,9.5499,13.271,11.3794,95.22,14.206,98.22,17.69,981.3
2023-01-02 00:40:00,9.2212,12.8433,10.8519,93.92,13.9893,96.02,17.7,981.3
2023-01-02 00:50:00,8.8552,12.707,10.5416,91.92,13.7726,94.02,17.69,981.2
2023-01-02 01:00:00,9.5375,13.364,11.2118,91.12,14.3113,93.42,17.75,981.0
2023-01-02 01:10:00,9.8166,13.8475,11.8386,87.12,14.6519,89.12,17.77,980.9
2023-01-02 01:20:00,9.4692,13.3826,11.429,86.32,14.2927,89.62,17.78,980.8
2023-01-02 01:30:00,9.1901,13.5748,11.1684,90.12,14.3422,93.22,17.73,980.7
2023-01-02 01:40:00,9.8166,13.7979,11.6773,92.92,14.8252,96.22,17.76,980.5
2023-01-02 01:50:00,10.1143,14.8269,12.1985,89.92,16.0142,94.02,17.78,980.4
2023-01-02 02:00:00,10.4368,14.3186,12.4281,85.92,15.0853,87.82,17.85,980.3
2023-01-02 02:10:00,9.1839,12.5582,10.9015,82.82,13.2957,86.52,17.82,980.3
2023-01-02 02:20:00,9.3328,13.1657,11.3111,83.22,14.1193,86.32,17.82,980.2
2023-01-02 02:30:00,9.8476,13.8413,11.8014,84.22,14.7324,87.12,17.82,980.1
2023-01-02 02:40:00,10.1515,14.3124,12.4654,85.72,15.0853,87.32,17.83,979.9
2023-01-02 02:50:00,10.3127,14.2752,12.0992,84.12,15.2959,86.92,17.85,979.8
2023-01-02 03:00:00,10.4368,14.0086,12.1241,84.32,15.1472,86.62,17.78,979.8
2023-01-02 03:10:00,10.0894,14.3124,12.2792,85.72,15.0358,86.92,17.71,979.7
2023-01-02 03:20:00,10.0646,14.1202,12.1303,83.62,14.881,85.92,17.8,979.6
2023-01-02 03:30:00,10.5918,14.1512,12.3537,81.02,15.0729,84.42,17.79,979.5
2023-01-02 03:40:00,9.8476,13.9343,11.9565,81.42,14.9181,84.52,17.74,979.4
2023-01-02 03:50:00,10.2135,13.9839,12.0806,82.72,14.9243,85.32,17.76,979.4
2023-01-02 04:00:00,9.7173,13.9219,11.7393,83.02,15.0482,85.42,17.65,979.3
2023-01-02 04:10:00,9.5313,13.5933,11.5097,83.12,14.8129,86.02,17.67,979.2
2023-01-02 04:20:00,9.6677,13.6925,11.4538,81.92,14.8005,84.52,17.62,979.1
2023-01-02 04:30:00,9.1157,12.8743,10.9946,81.62,14.0388,84.52,17.6,979.1
2023-01-02 04:40:00,10.0894,13.8351,11.7828,81.32,14.8624,83.82,17.55,979.0
2023-01-02 04:50:00,9.3142,13.2586,11.1684,79.52,14.497,82.32,17.53,979.0
2023-01-02 05:00:00,9.8042,13.8847,11.8945,81.42,15.1101,83.42,17.52,978.9
2023-01-02 05:10:00,10.0522,13.8289,11.9565,83.02,14.7324,85.62,17.55,979.0
2023-01-02 05:20:00,10.7469,14.6967,12.8563,85.02,15.4321,86.62,17.58,978.9
2023-01-02 05:30:00,10.8647,14.7277,13.0115,84.72,15.7603,87.12,17.55,978.9
2023-01-02 05:40:00,10.7655,14.8083,12.8439,84.82,15.6302,86.52,17.55,979.0
2023-01-02 05:50:00,10.4368,14.2256,12.4778,82.82,14.9429,85.12,17.59,979.0
2023-01-02 06:00:00,9.7483,13.9033,11.7765,82.72,15.0172,85.52,17.57,979.1
2023-01-02 06:10:00,10.0274,14.1264,12.0434,84.22,15.0296,85.62,17.61,979.1
2023-01-02 06:20:00,10.077,14.2442,12.1303,83.92,15.2463,85.62,17.6,979.1
2023-01-02 06:30:00,9.6181,13.6863,11.6648,83.62,14.6333,86.52,17.64,979.3
2023-01-02 06:40:00,10.3561,14.2008,12.242,82.82,14.9739,85.42,17.75,979.2
2023-01-02 06:50:00,10.7221,14.6285,12.6329,81.92,15.3887,84.82,17.84,979.2
2023-01-02 07:00:00,11.1066,14.7525,13.1046,80.42,15.6736,82.82,17.97,979.1
2023-01-02 07:10:00,10.9515,14.9818,12.8874,81.42,15.5621,84.02,18.14,979.1
2023-01-02 07:20:00,11.5531,15.8372,13.843,83.02,16.4848,85.42,18.27,979.1
2023-01-02 07:30:00,11.026,15.0748,13.3342,81.92,15.6736,84.32,18.32,979.1
2023-01-02 07:40:00,11.0446,15.0376,13.0177,82.62,15.8656,84.62,18.42,979.1
2023-01-02 07:50:00,11.0322,15.6884,13.3218,82.12,16.6582,85.02,18.67,978.9
2023-01-02 08:00:00,11.8819,16.1038,14.1657,80.32,16.782,82.02,18.84,978.9
2023-01-02 08:10:00,11.15,15.174,13.1046,83.42,15.9646,84.72,18.95,979.0
2023-01-02 08:20:00,11.4167,15.143,13.5576,81.52,15.9027,83.42,18.97,979.0
2023-01-02 08:30:00,11.2803,15.7256,13.6941,80.62,16.4972,83.32,18.99,978.9
2023-01-02 08:40:00,11.6772,16.2897,13.7748,79.42,17.1907,81.72,19.14,978.9
2023-01-02 08:50:00,11.5904,16.4261,14.023,79.52,17.1535,81.42,19.35,978.9
2023-01-02 09:00:00,11.8757,16.8538,14.2464,81.72,17.6489,83.72,19.44,978.9
2023-01-02 09:10:00,11.7578,16.2277,14.1099,81.62,17.0421,84.72,19.58,978.8
2023-01-02 09:20:00,12.0803,15.9798,14.1409,82.92,16.8687,85.12,19.6,978.7
2023-01-02 09:30:00,11.64,15.8186,13.6258,84.42,16.4972,86.52,19.73,978.7
2023-01-02 09:40:00,10.1577,13.9715,12.1675,87.32,14.4661,88.32,19.78,978.7
2023-01-02 09:50:00,9.9778,14.052,12.0372,83.72,14.8376,85.72,19.71,978.7
2023-01-02 10:00:00,11.3795,15.3165,13.4955,84.62,15.8532,85.82,19.68,978.7
2023-01-02 10:10:00,10.3313,14.2194,12.3351,84.72,15.0048,87.12,19.71,978.8
2023-01-02 10:20:00,9.891,13.0541,11.4663,85.82,14.0698,88.42,19.78,978.8
2023-01-02 10:30:00,9.5065,13.0045,10.9946,89.62,13.8345,92.42,19.87,978.7
2023-01-02 10:40:00,9.4816,12.7813,11.1063,87.92,13.4505,91.72,19.78,978.7
2023-01-02 10:50:00,10.1887,14.1202,12.1427,88.32,14.6085,91.12,19.99,978.7
2023-01-02 11:00:00,10.5484,14.6409,12.4095,90.22,15.3454,91.22,19.81,978.6
2023-01-02 11:10:00,10.0584,14.1078,12.1365,82.02,14.6333,84.42,20.4,978.5
2023-01-02 11:20:00,10.2383,13.5438,11.7455,85.12,14.3113,88.22,20.49,978.5
2023-01-02 11:30:00,9.7607,14.0148,11.6835,91.32,14.8129,91.52,20.51,978.5
2023-01-02 11:40:00,10.3313,13.2958,11.8882,84.32,13.9583,87.22,20.71,978.5
2023-01-02 11:50:00,10.5856,14.4797,12.3351,92.02,15.0791,93.42,20.48,978.4
2023-01-02 12:00:00,10.3189,14.1326,12.1799,91.62,14.689,92.02,20.49,978.4
2023-01-02 12:10:00,10.0956,13.2896,11.8138,88.82,13.9521,89.82,20.79,978.3
2023-01-02 12:20:00,11.0198,14.3806,12.7508,94.72,15.172,96.62,20.74,978.2
2023-01-02 12:30:00,10.5856,13.9405,12.2606,92.12,14.4909,93.82,20.88,978.1
2023-01-02 12:40:00,11.3733,14.3682,13.0301,86.12,14.72,89.72,21.29,978.0
2023-01-02 12:50:00,10.1515,13.7607,11.7641,90.32,14.4723,91.92,21.4,978.0
2023-01-02 13:00:00,10.8585,14.3992,12.695,94.02,14.8005,95.92,21.39,977.9
2023-01-02 13:10:00,10.7841,13.9095,12.3599,89.22,14.5156,94.22,21.55,977.8
2023-01-02 13:20:00,10.9143,14.0024,12.8067,92.62,14.3422,95.32,21.7,977.7
2023-01-02 13:30:00,10.3933,13.5252,12.0062,91.62,14.3051,92.92,21.84,977.6
2023-01-02 13:40:00,11.1376,14.6533,12.9246,90.52,15.1906,92.02,21.78,977.6
2023-01-02 13:50:00,11.181,14.8207,12.9432,89.32,15.364,91.12,21.75,977.4
2023-01-02 14:00:00,10.7221,14.207,12.5647,90.02,14.6333,91.72,21.99,977.4
2023-01-02 14:10:00,10.381,13.6925,12.1799,88.52,13.9955,89.22,22.16,977.4
2023-01-02 14:20:00,10.6166,13.9281,12.3537,93.62,14.3856,95.72,22.13,977.3
2023-01-02 14:30:00,10.598,13.6615,12.2854,91.82,13.9459,93.22,22.17,977.3
2023-01-02 14:40:00,10.0832,13.4818,11.82,94.32,13.9026,95.22,22.06,977.2
2023-01-02 14:50:00,10.6476,13.5748,12.1551,91.62,13.9521,93.72,22.1,977.1
2023-01-02 15:00:00,9.8414,12.5954,11.3483,97.02,13.0419,97.32,22.35,977.2
2023-01-02 15:10:00,9.4196,12.4342,11.0691,92.52,12.9675,93.12,22.4,977.1
2023-01-02 15:20:00,9.86,12.3227,11.1374,98.52,12.8189,99.62,22.15,977.1
2023-01-02 15:30:00,9.6801,11.9322,10.9388,98.02,12.2554,99.72,22.12,977.1
2023-01-02 15:40:00,9.2212,11.8268,10.703,100.92,12.1192,103.32,21.87,977.0
2023-01-02 15:50:00,9.7049,12.2421,10.9884,105.02,12.6332,104.32,21.82,976.9
2023-01-02 16:00:00,9.2708,11.5479,10.4299,101.42,11.921,103.22,22.0,977.0
2023-01-02 16:10:00,9.2212,12.0561,10.4982,98.52,12.6394,100.42,21.73,977.0
2023-01-02 16:20:00,9.5002,12.4838,10.9015,102.22,12.8932,102.92,21.68,976.9
2023-01-02 16:30:00,8.9359,11.647,10.2748,96.42,12.3421,98.62,21.65,976.8
2023-01-02 16:40:00,9.5561,12.4404,11.0132,97.72,12.7384,100.82,21.5,976.8
2023-01-02 16:50:00,9.5127,12.3227,11.0567,102.72,13.0728,104.42,21.28,976.8
2023-01-02 17:00:00,9.1653,12.1119,10.6285,102.32,12.6022,103.42,21.12,976.7
2023-01-02 17:10:00,9.1901,12.4094,10.6843,98.02,13.0852,99.52,21.03,976.6
2023-01-02 17:20:00,9.3018,12.0313,10.6347,98.02,12.6579,100.72,21.08,976.5
2023-01-02 17:30:00,9.6615,12.5024,11.0319,102.42,13.1905,103.92,20.79,976.5
2023-01-02 17:40:00,9.6181,12.707,11.2925,100.22,13.048,101.92,20.66,976.4
2023-01-02 17:50:00,10.1143,13.0851,11.7269,99.32,13.593,100.72,20.44,976.5
2023-01-02 18:00:00,9.3824,12.738,11.2987,98.22,13.1595,100.72,20.36,976.4
2023-01-02 18:10:00,9.3576,12.5954,10.9015,95.92,13.1224,98.22,20.27,976.5
2023-01-02 18:20:00,8.7374,11.8454,10.1507,97.72,12.2369,99.02,20.26,976.6
2023-01-02 18:30:00,8.9359,12.0437,10.3554,96.22,12.6022,97.72,20.11,976.6
2023-01-02 18:40:00,9.2956,12.8123,10.8705,94.82,13.1409,96.42,19.96,976.8
2023-01-02 18:50:00,9.1777,12.6202,10.8085,95.12,13.2338,97.22,19.81,976.9
2023-01-02 19:00:00,8.849,12.5024,10.5851,92.32,12.9366,95.32,19.71,977.0
2023-01-02 19:10:00,9.5127,12.9983,11.2429,91.32,13.5558,94.42,19.66,977.1
2023-01-02 19:20:00,8.5389,12.0437,10.1507,91.32,12.918,93.52,19.6,977.2
2023-01-02 19:30:00,9.0909,12.4404,10.9139,89.12,12.8189,92.22,19.54,977.2
2023-01-02 19:40:00,8.3653,11.4797,9.7411,89.82,12.3483,91.22,19.44,977.2
2023-01-02 19:50:00,9.3018,12.2297,10.9264,86.52,12.6208,88.92,19.33,977.1
2023-01-02 20:00:00,9.1405,12.521,10.9636,86.42,13.0604,88.32,19.25,977.1
2023-01-02 20:10:00,8.9297,12.1925,10.4795,87.62,12.6827,89.92,19.27,977.1
2023-01-02 20:20:00,8.7684,11.9694,10.3616,88.42,12.6084,91.12,19.2,977.2
2023-01-02 20:30:00,8.6071,11.9879,10.2623,88.62,12.4226,90.42,19.11,977.2
2023-01-02 20:40:00,8.4583,11.709,9.921,88.22,12.3174,90.82,19.03,977.2
2023-01-02 20:50:00,8.2412,11.6718,9.8217,89.52,12.3483,90.92,18.98,977.1
2023-01-02 21:00:00,8.2102,11.3061,9.7163,89.52,11.9768,90.92,18.96,977.2
2023-01-02 21:10:00,8.8056,11.802,10.281,87.22,12.4164,88.92,18.93,977.2
2023-01-02 21:20:00,8.0738,11.0148,9.6108,84.82,11.6734,87.12,18.93,977.3
2023-01-02 21:30:00,8.4459,10.8908,9.8404,84.42,11.4443,87.62,18.91,977.3
2023-01-02 21:40:00,8.4583,11.3495,9.8652,84.92,11.983,87.82,18.9,977.3
2023-01-02 21:50:00,8.4769,11.7152,10.0451,85.92,12.5898,87.62,18.91,977.4
2023-01-02 22:00:00,8.2846,11.4921,9.9769,85.22,12.1564,86.72,18.92,977.4
2023-01-02 22:10:00,7.8133,11.1697,9.5549,81.92,11.8034,83.82,18.93,977.4
2023-01-02 22:20:00,8.5265,11.6966,10.1631,81.02,12.2988,83.02,18.93,977.3
2023-01-02 22:30:00,8.1854,11.4735,9.8342,82.42,12.2678,85.12,18.95,977.3
2023-01-02 22:40:00,8.694,11.771,10.1879,82.02,12.3545,84.32,18.97,977.2
2023-01-02 22:50:00,8.8924,12.0623,10.4609,83.32,12.5341,85.12,18.99,977.1
2023-01-02 23:00:00,8.7374,11.8206,10.2934,83.62,12.3235,85.72,18.99,977.0
2023-01-02 23:10:00,8.1544,11.3061,9.9831,82.62,11.7662,84.72,18.99,976.9
2023-01-02 23:20:00,8.2784,11.2999,9.8962,83.72,11.983,85.72,18.98,976.8
2023-01-02 23:30:00,8.4707,11.6842,10.2499,82.22,12.2554,85.62,18.96,976.7
2023-01-02 23:40:00,8.4893,11.4611,10.0762,80.42,11.9149,82.72,18.97,976.7
