Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,Sensor faulty - gets stuck at low wind speeds
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-09-01 00:10:00, WM05, 6.455, 6.1023, 6.7211, 0.2036, 6.4361, 6.1014, 6.7211, 0.194, 5.8514, 5.182, 6.4217, 0.2132, 4.5674, 3.6223, 5.484, 0.2848, 3.318, 2.3988, 4.2595, 0.4062, 91.92, 87.62, 94.22, 1.733, 88.42, 80.62, 103.82, 3.157, 9.0, 8.92, 9.19, 0.0338, 0.539, 0.42, 0.706, 0.069, 992.1, 991.9, 992.1, 0.0396, 92.5, 91.7, 93.0, 0.2441, 
2020-09-01 00:20:00, WM05, 7.0181, 6.4117, 7.9587, 0.3082, 6.9752, 6.1014, 7.9606, 0.2956, 6.0436, 5.4919, 6.7316, 0.2355, 4.7374, 3.9325, 5.484, 0.2898, 3.4966, 2.0887, 4.5696, 0.4025, 90.42, 85.32, 95.22, 1.422, 87.62, 80.12, 97.72, 2.948, 9.26, 9.06, 9.4, 0.0871, 0.785, 0.706, 0.993, 0.067, 992.1, 992.0, 992.2, 0.0397, 89.8, 88.9, 91.8, 0.6331, 
2020-09-01 00:30:00, WM05, 7.0367, 6.7211, 7.6493, 0.2123, 7.0062, 6.4113, 7.6507, 0.2026, 6.149, 5.8018, 6.7316, 0.2281, 4.6971, 3.6223, 5.484, 0.2917, 3.4408, 2.709, 4.2595, 0.3169, 97.62, 93.52, 100.42, 2.237, 95.52, 83.02, 104.72, 3.517, 9.58, 9.36, 9.74, 0.0706, 1.04, 0.957, 1.281, 0.078, 992.0, 991.9, 992.1, 0.0491, 88.1, 87.2, 89.3, 0.5142, 
2020-09-01 00:40:00, WM05, 7.377, 6.7211, 7.9587, 0.2153, 7.3223, 6.7211, 7.6507, 0.2126, 6.3349, 5.8018, 7.0415, 0.2424, 4.9348, 4.2428, 5.7942, 0.2426, 3.6238, 2.3988, 4.5696, 0.3572, 102.12, 98.62, 104.22, 0.85, 102.52, 95.92, 108.82, 2.121, 9.66, 9.57, 9.74, 0.0227, 1.005, 0.993, 1.137, 0.023, 991.9, 991.8, 992.1, 0.0535, 90.4, 88.2, 91.3, 0.7445, 
2020-09-01 00:50:00, WM05, 7.408, 6.7211, 7.9587, 0.2704, 7.3533, 6.7211, 7.9606, 0.2621, 6.4093, 5.8018, 7.0415, 0.2721, 5.0787, 4.5531, 5.7942, 0.2321, 3.7428, 2.709, 4.5696, 0.3362, 98.32, 92.32, 101.52, 2.307, 97.62, 88.02, 108.92, 3.951, 9.6, 9.5, 9.7, 0.0467, 1.052, 0.993, 1.173, 0.06, 991.9, 991.8, 992.1, 0.0567, 91.5, 90.9, 92.4, 0.2787, 
2020-09-01 01:00:00, WM05, 7.1728, 6.7211, 7.6493, 0.2859, 7.1178, 6.4113, 7.6507, 0.2814, 6.1304, 5.4919, 6.7316, 0.2796, 4.8913, 4.2428, 5.484, 0.2408, 3.7149, 2.709, 4.5696, 0.3287, 92.42, 86.62, 96.32, 1.599, 88.72, 83.62, 96.92, 2.111, 9.46, 9.4, 9.67, 0.0535, 0.989, 0.922, 1.029, 0.019, 991.8, 991.7, 992.0, 0.0432, 91.9, 90.5, 93.1, 0.5885, 
2020-09-01 01:10:00, WM05, 7.5503, 6.7211, 7.9587, 0.284, 7.502, 6.7211, 7.9606, 0.2925, 6.4589, 5.8018, 7.0415, 0.2628, 5.2357, 4.5531, 5.7942, 0.2582, 3.8489, 2.709, 4.8797, 0.392, 92.12, 86.72, 96.62, 1.451, 88.12, 78.52, 96.82, 2.613, 9.41, 9.12, 9.67, 0.1517, 0.825, 0.563, 1.029, 0.138, 991.9, 991.7, 992.1, 0.0684, 93.4, 92.7, 94.3, 0.3437, 
2020-09-01 01:20:00, WM05, 7.4699, 6.7211, 7.9587, 0.3274, 7.409, 6.4113, 7.9606, 0.3278, 6.2419, 5.182, 7.0415, 0.3465, 5.0074, 3.9325, 6.1045, 0.4183, 3.7416, 2.709, 5.1898, 0.454, 91.52, 85.62, 98.12, 2.333, 91.52, 76.92, 106.32, 3.457, 9.21, 9.09, 9.36, 0.0611, 0.665, 0.491, 0.814, 0.073, 991.9, 991.7, 992.0, 0.05, 94.7, 93.7, 95.7, 0.4421, 
2020-09-01 01:30:00, WM05, 6.6283, 5.4835, 7.6493, 0.3651, 6.5724, 5.4817, 7.3409, 0.3954, 5.5229, 4.5621, 6.4217, 0.3694, 4.4197, 3.312, 5.1737, 0.3221, 3.3168, 2.3988, 4.5696, 0.3634, 86.52, 80.02, 90.82, 1.889, 87.12, 76.42, 97.72, 3.651, 9.13, 9.02, 9.33, 0.034, 0.556, 0.42, 0.706, 0.07, 991.9, 991.7, 992.0, 0.048, 96.0, 95.3, 96.5, 0.3029, 
2020-09-01 01:40:00, WM05, 6.2446, 4.8647, 7.6493, 0.474, 6.182, 5.1718, 7.6507, 0.4648, 5.0537, 3.9423, 6.4217, 0.4891, 3.8506, 3.0017, 5.1737, 0.3879, 2.8373, 2.0887, 4.5696, 0.3957, 83.82, 71.22, 95.92, 3.909, 79.52, 68.52, 93.62, 3.8, 9.11, 9.02, 9.19, 0.0346, 0.574, 0.42, 0.742, 0.117, 991.9, 991.7, 992.0, 0.0478, 96.6, 96.1, 97.0, 0.2043, 
2020-09-01 01:50:00, WM05, 6.7149, 5.4835, 8.2681, 0.5879, 6.6592, 5.4817, 7.9606, 0.585, 5.5973, 4.2522, 6.7316, 0.4791, 4.375, 3.0017, 5.484, 0.4344, 3.4234, 2.3988, 4.5696, 0.5228, 85.92, 74.62, 94.22, 3.635, 82.52, 66.02, 108.82, 5.522, 9.19, 9.12, 9.33, 0.0398, 0.382, 0.205, 0.491, 0.06, 991.9, 991.7, 992.0, 0.0459, 95.3, 94.3, 96.3, 0.5437, 
2020-09-01 02:00:00, WM05, 7.1171, 5.7929, 8.2681, 0.4653, 7.0806, 6.1014, 8.2704, 0.4481, 6.1428, 5.182, 7.3515, 0.4364, 4.7442, 3.312, 6.1045, 0.5343, 3.7106, 2.3988, 5.4999, 0.5489, 86.42, 76.92, 95.82, 3.361, 86.72, 72.82, 101.02, 4.561, 9.13, 8.99, 9.26, 0.0627, 0.343, 0.133, 0.455, 0.073, 991.9, 991.8, 992.0, 0.049, 94.9, 94.2, 95.6, 0.3899, 
2020-09-01 02:10:00, WM05, 7.1481, 6.1023, 8.5775, 0.4907, 7.1116, 5.7916, 8.8902, 0.4828, 6.2667, 5.182, 7.6614, 0.4605, 4.9503, 3.312, 6.4148, 0.5442, 3.9773, 2.3988, 5.4999, 0.5489, 83.52, 72.32, 91.62, 2.835, 85.22, 73.42, 100.42, 4.801, 8.94, 8.85, 9.06, 0.0377, 0.16, 0.133, 0.276, 0.033, 991.9, 991.8, 992.0, 0.0469, 96.1, 95.3, 96.8, 0.3397, 
2020-09-01 02:20:00, WM05, 8.2743, 6.7211, 9.8151, 0.651, 8.2209, 6.7211, 9.5099, 0.6457, 6.93, 5.182, 8.2812, 0.5994, 5.3785, 3.9325, 7.0354, 0.5306, 4.3382, 2.709, 5.81, 0.6047, 79.12, 72.42, 90.62, 2.838, 80.02, 64.82, 97.62, 5.069, 9.0, 8.82, 9.19, 0.0828, 0.285, 0.133, 0.491, 0.101, 991.9, 991.8, 992.0, 0.0461, 97.1, 96.4, 97.8, 0.2689, 
2020-09-01 02:30:00, WM05, 9.2953, 8.2681, 10.434, 0.513, 9.231, 7.6507, 10.4395, 0.4964, 7.5312, 6.1118, 8.9011, 0.4482, 5.5957, 3.9325, 6.7251, 0.5244, 4.2793, 2.709, 6.1201, 0.5935, 81.32, 71.42, 86.02, 3.086, 83.32, 68.52, 106.72, 5.896, 9.38, 9.06, 9.67, 0.1602, 0.672, 0.42, 0.922, 0.112, 991.8, 991.7, 992.0, 0.0582, 96.6, 94.4, 97.9, 0.967, 
2020-09-01 02:40:00, WM05, 8.6703, 7.0305, 9.1963, 0.2834, 8.6423, 7.031, 9.2, 0.2876, 7.2833, 5.8018, 8.5912, 0.4643, 5.3723, 4.2428, 7.0354, 0.5312, 4.1584, 2.709, 6.1201, 0.5501, 82.52, 79.62, 87.02, 1.038, 85.52, 68.42, 101.02, 4.938, 9.8, 9.6, 9.94, 0.0643, 0.974, 0.85, 1.065, 0.039, 991.7, 991.6, 991.9, 0.0622, 93.8, 92.8, 94.5, 0.4528, 
2020-09-01 02:50:00, WM05, 8.5342, 7.9587, 8.8869, 0.2067, 8.5059, 7.6507, 8.8902, 0.2113, 7.4073, 6.4217, 7.9713, 0.2975, 5.3847, 4.2428, 6.4148, 0.4499, 4.0033, 2.709, 5.4999, 0.5576, 83.62, 81.02, 86.72, 1.142, 86.12, 70.22, 100.72, 4.283, 9.88, 9.74, 9.97, 0.0389, 0.991, 0.922, 1.065, 0.018, 991.6, 991.5, 991.7, 0.06, 94.8, 94.1, 95.2, 0.245, 
2020-09-01 03:00:00, WM05, 8.8065, 7.9587, 9.5057, 0.2915, 8.7724, 7.9606, 9.5099, 0.2919, 7.7172, 7.0415, 8.5912, 0.3019, 5.6453, 4.2428, 7.0354, 0.5051, 4.0486, 2.3988, 5.81, 0.5681, 85.72, 81.42, 90.02, 1.383, 91.82, 77.82, 110.72, 4.789, 9.91, 9.8, 10.01, 0.0339, 0.973, 0.814, 1.065, 0.037, 991.5, 991.4, 991.6, 0.0398, 94.6, 94.2, 95.0, 0.2094, 
2020-09-01 03:10:00, WM05, 8.2557, 7.0305, 9.1963, 0.3342, 8.2147, 7.031, 9.2, 0.3452, 7.2337, 6.4217, 7.9713, 0.3074, 5.5336, 3.9325, 6.4148, 0.5343, 4.208, 2.3988, 6.1201, 0.6128, 85.92, 79.92, 92.52, 1.529, 90.92, 75.22, 106.62, 4.765, 9.63, 9.4, 9.87, 0.1326, 0.574, 0.42, 0.778, 0.149, 991.5, 991.3, 991.6, 0.059, 95.7, 94.8, 96.9, 0.5846, 
2020-09-01 03:20:00, WM05, 7.7731, 7.0305, 8.2681, 0.2296, 7.7189, 7.031, 8.2704, 0.251, 6.7936, 6.1118, 7.3515, 0.2771, 5.2854, 3.9325, 6.4148, 0.4245, 4.2055, 2.3988, 5.4999, 0.5086, 85.92, 81.42, 89.32, 1.233, 92.02, 79.72, 104.82, 4.728, 9.41, 9.26, 9.6, 0.0619, 0.457, 0.348, 0.635, 0.09, 991.3, 991.1, 991.5, 0.0705, 97.2, 96.4, 97.9, 0.3948, 
2020-09-01 03:30:00, WM05, 7.9216, 6.7211, 8.8869, 0.37, 7.8428, 7.031, 8.8902, 0.3446, 6.6944, 5.8018, 7.6614, 0.3242, 5.0942, 3.9325, 6.1045, 0.404, 3.9661, 2.709, 5.4999, 0.5173, 83.32, 78.22, 90.02, 1.915, 92.42, 67.42, 104.92, 5.294, 9.53, 9.43, 9.63, 0.0268, 0.533, 0.42, 0.635, 0.07, 991.2, 991.1, 991.3, 0.0493, 97.5, 96.9, 97.9, 0.1961, 
2020-09-01 03:40:00, WM05, 7.7359, 6.1023, 8.8869, 0.4963, 7.6693, 6.4113, 8.8902, 0.4995, 6.4465, 5.4919, 7.3515, 0.3899, 4.9919, 3.6223, 6.7251, 0.5337, 3.8998, 2.3988, 5.4999, 0.5904, 81.72, 73.32, 89.32, 2.885, 89.52, 70.82, 104.82, 5.916, 9.4, 9.33, 9.6, 0.0583, 0.442, 0.348, 0.599, 0.051, 991.2, 991.0, 991.3, 0.058, 97.9, 97.2, 98.5, 0.3236, 
2020-09-01 03:50:00, WM05, 8.8189, 7.3399, 10.1245, 0.7624, 8.729, 7.031, 10.1296, 0.761, 7.2337, 5.8018, 8.9011, 0.6949, 5.3847, 3.312, 7.0354, 0.6429, 4.1528, 2.3988, 5.81, 0.6301, 84.52, 75.82, 95.42, 2.835, 92.32, 75.82, 106.42, 5.64, 9.49, 9.26, 9.74, 0.1273, 0.641, 0.42, 0.922, 0.156, 991.1, 990.8, 991.2, 0.0799, 98.6, 97.7, 99.1, 0.3054, 
2020-09-01 04:00:00, WM05, 9.1963, 7.3399, 11.3622, 0.6838, 9.1195, 7.031, 10.7493, 0.6606, 7.804, 6.4217, 9.5209, 0.5957, 5.937, 3.6223, 8.2765, 0.7639, 4.7637, 3.0191, 6.7403, 0.6357, 88.82, 78.22, 99.52, 3.298, 91.12, 70.92, 107.92, 5.919, 9.69, 9.57, 9.84, 0.0453, 0.604, 0.42, 0.778, 0.099, 990.9, 990.8, 991.0, 0.0497, 98.1, 97.4, 98.7, 0.2681, 
2020-09-01 04:10:00, WM05, 9.7038, 8.5775, 10.7434, 0.461, 9.6276, 8.2704, 10.7493, 0.458, 8.337, 6.4217, 9.5209, 0.5926, 6.39, 4.2428, 7.9662, 0.7583, 5.1247, 3.6393, 7.0504, 0.7567, 88.42, 82.22, 97.72, 2.574, 88.12, 69.22, 110.72, 6.386, 9.69, 9.6, 9.84, 0.0398, 0.557, 0.42, 0.778, 0.103, 990.9, 990.8, 991.0, 0.0463, 98.6, 97.6, 99.0, 0.2426, 
2020-09-01 04:20:00, WM05, 10.3535, 8.8869, 10.7434, 0.2939, 10.2845, 8.8902, 10.7493, 0.3303, 9.0561, 7.3515, 10.1408, 0.5238, 6.7437, 4.5531, 8.2765, 0.7571, 5.3759, 3.3292, 7.9807, 0.9291, 89.32, 85.72, 93.82, 1.068, 89.52, 69.92, 111.42, 6.192, 9.81, 9.67, 9.94, 0.0481, 0.498, 0.42, 0.635, 0.065, 990.9, 990.8, 991.0, 0.0432, 98.9, 98.5, 99.1, 0.1162, 
2020-09-01 04:30:00, WM05, 10.7186, 10.1245, 11.6716, 0.2698, 10.6935, 10.1296, 11.6789, 0.2646, 9.8061, 8.2812, 10.7606, 0.3657, 7.3457, 5.1737, 9.2074, 0.8136, 5.8658, 3.6393, 8.2908, 0.9136, 89.02, 85.22, 93.12, 0.997, 88.82, 69.52, 113.12, 5.798, 9.88, 9.74, 9.97, 0.0381, 0.421, 0.348, 0.599, 0.056, 990.9, 990.8, 991.0, 0.0452, 98.6, 98.0, 99.0, 0.2804, 
2020-09-01 04:40:00, WM05, 10.8795, 9.8151, 11.981, 0.3985, 10.7989, 9.8197, 11.6789, 0.4115, 9.4032, 7.6614, 10.7606, 0.5362, 7.2216, 4.5531, 9.2074, 0.8266, 5.6674, 3.0191, 7.6706, 0.9036, 87.12, 82.72, 90.82, 1.433, 86.72, 67.92, 103.12, 5.418, 9.74, 9.6, 9.87, 0.0529, 0.391, 0.276, 0.67, 0.073, 990.9, 990.7, 991.0, 0.0551, 97.6, 97.1, 98.0, 0.2408, 
2020-09-01 04:50:00, WM05, 11.2817, 10.7434, 11.981, 0.2642, 11.2079, 10.4395, 11.6789, 0.282, 9.335, 8.2812, 10.4507, 0.3403, 6.8616, 5.1737, 8.2765, 0.5877, 5.3014, 3.6393, 7.3605, 0.7015, 86.02, 82.62, 89.92, 1.07, 84.02, 64.72, 99.92, 5.278, 9.95, 9.74, 10.08, 0.0611, 0.865, 0.635, 0.957, 0.077, 990.9, 990.8, 991.0, 0.0463, 96.3, 95.8, 97.4, 0.3929, 
2020-09-01 05:00:00, WM05, 11.3684, 10.434, 11.981, 0.2698, 11.3071, 10.1296, 11.9888, 0.2789, 9.9176, 8.5912, 10.7606, 0.282, 7.1099, 4.5531, 8.8971, 0.7559, 5.4751, 3.6393, 7.3605, 0.7548, 88.92, 85.32, 91.42, 1.086, 90.02, 74.32, 110.42, 5.85, 10.03, 9.87, 10.14, 0.0567, 0.962, 0.85, 1.065, 0.045, 990.9, 990.8, 991.0, 0.0443, 95.9, 95.6, 96.4, 0.2203, 
2020-09-01 05:10:00, WM05, 11.1889, 10.434, 12.2904, 0.289, 11.1273, 10.1296, 11.9888, 0.2876, 9.6697, 8.5912, 10.4507, 0.3731, 7.1037, 5.1737, 9.2074, 0.7192, 5.7294, 3.6393, 7.6706, 0.7567, 87.92, 84.42, 90.92, 1.397, 89.92, 74.62, 113.62, 5.453, 9.99, 9.87, 10.14, 0.0468, 0.986, 0.922, 1.065, 0.032, 990.9, 990.8, 991.1, 0.0399, 96.4, 96.0, 96.9, 0.2595, 
2020-09-01 05:20:00, WM05, 10.6382, 9.5057, 11.6716, 0.409, 10.5014, 9.5099, 11.369, 0.4152, 8.8143, 7.9713, 9.8309, 0.3446, 6.2349, 4.2428, 7.656, 0.6553, 4.8871, 3.0191, 6.4302, 0.7213, 88.72, 85.12, 93.12, 1.384, 94.92, 77.42, 116.72, 5.793, 9.95, 9.77, 10.11, 0.06, 0.951, 0.778, 1.065, 0.049, 990.9, 990.8, 991.0, 0.0433, 96.8, 96.2, 97.5, 0.3755, 
2020-09-01 05:30:00, WM05, 10.5825, 7.9587, 12.9092, 0.862, 10.489, 7.6507, 12.9183, 0.8688, 8.6841, 6.1118, 11.6904, 0.8734, 6.5824, 4.5531, 10.1382, 1.0059, 5.2022, 2.3988, 8.911, 1.0897, 89.12, 76.92, 101.82, 3.661, 95.42, 73.32, 125.02, 7.407, 9.75, 9.46, 9.97, 0.1471, 0.669, 0.348, 0.957, 0.224, 990.9, 990.7, 991.0, 0.0541, 96.9, 96.2, 97.7, 0.3835, 
2020-09-01 05:40:00, WM05, 10.9785, 8.5775, 12.5998, 0.7178, 10.8671, 8.5803, 12.6085, 0.7238, 9.2296, 6.7316, 11.0706, 0.7903, 6.9609, 4.8634, 8.8971, 0.8502, 5.5681, 3.6393, 7.6706, 0.8726, 89.42, 81.02, 98.42, 2.807, 92.42, 75.62, 116.22, 5.941, 9.88, 9.53, 10.21, 0.2197, 0.767, 0.348, 1.065, 0.215, 990.9, 990.8, 991.0, 0.0445, 95.7, 93.8, 97.4, 1.152, 
2020-09-01 05:50:00, WM05, 10.2978, 9.1963, 11.6716, 0.5235, 10.2102, 9.2, 11.9888, 0.528, 8.6779, 7.3515, 10.1408, 0.5461, 6.3838, 4.5531, 9.5177, 0.8551, 5.0688, 3.0191, 7.6706, 0.8478, 88.02, 82.82, 93.92, 2.03, 91.22, 75.22, 113.42, 5.92, 10.22, 10.08, 10.42, 0.0847, 0.923, 0.778, 1.137, 0.083, 990.9, 990.8, 991.1, 0.0436, 94.1, 93.1, 94.9, 0.5508, 
2020-09-01 06:00:00, WM05, 9.7099, 8.8869, 10.434, 0.2556, 9.64, 8.8902, 10.1296, 0.251, 8.1635, 7.3515, 9.211, 0.3081, 5.9804, 3.9325, 7.3457, 0.5815, 4.5615, 3.0191, 5.81, 0.637, 87.42, 82.82, 90.82, 1.248, 91.62, 77.52, 105.12, 5.324, 10.18, 10.08, 10.28, 0.0327, 0.867, 0.778, 0.922, 0.059, 990.9, 990.8, 991.0, 0.0395, 94.6, 94.2, 94.9, 0.179, 
2020-09-01 06:10:00, WM05, 9.2397, 8.2681, 10.7434, 0.4356, 9.169, 7.9606, 10.7493, 0.4425, 7.8783, 6.7316, 8.9011, 0.3986, 5.7446, 4.2428, 7.3457, 0.6001, 4.4902, 3.0191, 6.4302, 0.645, 89.22, 84.62, 95.52, 1.799, 90.02, 71.52, 105.62, 5.885, 10.11, 9.97, 10.25, 0.0492, 0.788, 0.635, 0.922, 0.072, 990.9, 990.8, 991.0, 0.0532, 95.1, 94.2, 95.9, 0.4308, 
2020-09-01 06:20:00, WM05, 9.7285, 8.5775, 11.3622, 0.5303, 9.6524, 8.2704, 11.369, 0.5305, 8.337, 6.7316, 10.1408, 0.6595, 6.4272, 4.5531, 8.5868, 0.7856, 5.1631, 3.0191, 8.2908, 0.9074, 86.52, 80.62, 98.32, 2.629, 86.72, 64.82, 100.52, 5.648, 9.93, 9.74, 10.14, 0.0938, 0.472, 0.348, 0.706, 0.106, 990.9, 990.8, 991.0, 0.0434, 96.2, 95.4, 97.1, 0.4845, 
2020-09-01 06:30:00, WM05, 10.0503, 8.2681, 11.6716, 0.6665, 9.9623, 8.2704, 11.6789, 0.6488, 8.7647, 6.4217, 10.4507, 0.6378, 6.9299, 4.2428, 8.8971, 0.8396, 5.7976, 3.6393, 7.9807, 0.8205, 90.12, 81.62, 103.52, 3.0, 92.32, 72.52, 112.02, 6.87, 9.9, 9.8, 10.07, 0.0672, 0.4, 0.348, 0.491, 0.051, 990.9, 990.7, 991.0, 0.0524, 97.2, 96.7, 97.7, 0.2212, 
2020-09-01 06:40:00, WM05, 9.7533, 8.2681, 11.6716, 0.6306, 9.6586, 8.5803, 11.6789, 0.6036, 8.3246, 5.8018, 10.1408, 0.6477, 6.3341, 4.2428, 8.5868, 0.8614, 5.0236, 3.3292, 7.9807, 0.8559, 88.82, 78.62, 98.12, 3.055, 92.22, 68.62, 110.12, 6.493, 10.04, 9.87, 10.11, 0.0341, 0.458, 0.348, 0.635, 0.057, 990.8, 990.6, 991.0, 0.0559, 96.9, 96.4, 97.3, 0.1842, 
2020-09-01 06:50:00, WM05, 10.7867, 8.5775, 11.981, 0.617, 10.6874, 8.8902, 11.6789, 0.647, 8.9879, 7.3515, 10.4507, 0.6267, 6.7561, 3.6223, 8.8971, 0.8427, 5.5433, 3.3292, 7.9807, 0.8422, 85.72, 78.22, 92.72, 2.242, 89.42, 71.22, 117.02, 6.279, 10.21, 10.07, 10.52, 0.1308, 0.635, 0.348, 0.85, 0.151, 990.7, 990.6, 990.9, 0.0598, 95.8, 93.9, 96.9, 0.7351, 
2020-09-01 07:00:00, WM05, 10.0379, 8.8869, 11.6716, 0.5037, 9.9685, 8.8902, 11.369, 0.4945, 8.616, 7.3515, 10.1408, 0.5331, 6.5141, 4.5531, 8.2765, 0.6615, 5.1606, 3.3292, 7.0504, 0.7207, 86.42, 81.12, 91.02, 1.692, 88.12, 62.42, 107.82, 6.584, 10.33, 10.14, 10.55, 0.1125, 0.719, 0.563, 0.85, 0.08, 990.7, 990.5, 990.8, 0.0517, 93.0, 92.4, 93.8, 0.3149, 
2020-09-01 07:10:00, WM05, 9.153, 7.6493, 10.1245, 0.4517, 9.0761, 7.6507, 10.1296, 0.4629, 7.7234, 6.1118, 9.211, 0.442, 5.8811, 4.2428, 7.3457, 0.5883, 4.559, 3.0191, 6.1201, 0.6128, 85.82, 80.42, 93.22, 1.942, 89.32, 74.92, 106.52, 5.282, 10.02, 9.94, 10.18, 0.0518, 0.601, 0.491, 0.742, 0.074, 990.7, 990.6, 990.9, 0.0544, 92.6, 91.3, 93.6, 0.7222, 
2020-09-01 07:20:00, WM05, 8.4538, 7.3399, 10.1245, 0.4573, 8.3882, 7.031, 9.8197, 0.458, 7.1283, 5.8018, 8.5912, 0.432, 5.2109, 3.6223, 6.7251, 0.597, 4.0381, 2.709, 5.4999, 0.5842, 86.72, 78.22, 94.22, 2.399, 90.22, 72.22, 107.62, 5.353, 9.74, 9.46, 10.01, 0.1432, 0.427, 0.276, 0.635, 0.115, 990.8, 990.6, 990.9, 0.0589, 93.1, 91.8, 94.0, 0.6795, 
2020-09-01 07:30:00, WM05, 9.3572, 7.9587, 10.434, 0.4344, 9.262, 7.9606, 10.1296, 0.4165, 7.5002, 5.8018, 8.5912, 0.4903, 5.5646, 3.9325, 7.3457, 0.5883, 4.4083, 2.709, 6.1201, 0.6878, 86.92, 80.72, 93.02, 1.823, 88.02, 70.32, 109.32, 5.959, 9.58, 9.5, 9.84, 0.0685, 0.489, 0.312, 0.778, 0.148, 990.8, 990.6, 990.9, 0.0572, 91.6, 88.7, 93.3, 1.367, 
2020-09-01 07:40:00, WM05, 9.4191, 7.9587, 10.434, 0.4196, 9.3178, 7.9606, 10.4395, 0.4251, 7.6738, 6.1118, 8.9011, 0.5703, 5.6577, 3.6223, 7.0354, 0.7006, 4.4375, 2.709, 6.4302, 0.7095, 83.92, 76.42, 90.72, 2.389, 81.42, 66.02, 98.72, 5.858, 9.7, 9.6, 9.87, 0.0563, 0.763, 0.706, 0.85, 0.029, 990.9, 990.7, 991.1, 0.0472, 89.3, 88.4, 90.0, 0.3417, 
2020-09-01 07:50:00, WM05, 10.4401, 8.5775, 11.6716, 0.5272, 10.3403, 8.5803, 11.369, 0.5063, 8.3246, 6.1118, 9.8309, 0.662, 6.1666, 4.2428, 8.5868, 0.7825, 4.8654, 2.709, 6.4302, 0.7995, 86.32, 76.82, 91.02, 2.246, 87.02, 66.12, 105.92, 6.208, 9.88, 9.6, 10.21, 0.1786, 0.964, 0.706, 1.209, 0.157, 990.9, 990.8, 991.0, 0.0421, 85.8, 83.5, 89.1, 1.857, 
2020-09-01 08:00:00, WM05, 10.5391, 9.5057, 11.6716, 0.4208, 10.4457, 8.8902, 11.6789, 0.4474, 8.8329, 7.3515, 10.1408, 0.5325, 6.5576, 4.5531, 8.5868, 0.852, 5.3138, 3.3292, 8.2908, 0.8689, 91.92, 81.02, 99.92, 2.673, 93.62, 75.02, 113.62, 6.422, 10.13, 9.94, 10.21, 0.0631, 1.07, 0.778, 1.281, 0.147, 990.9, 990.7, 990.9, 0.0573, 84.0, 83.0, 85.3, 0.6425, 
2020-09-01 08:10:00, WM05, 9.4624, 8.2681, 10.7434, 0.4901, 9.3673, 7.9606, 10.4395, 0.479, 8.1697, 6.1118, 9.8309, 0.6236, 6.4583, 3.9325, 8.2765, 0.7751, 5.1389, 3.3292, 7.3605, 0.7914, 91.92, 82.52, 98.62, 2.779, 96.62, 82.42, 112.72, 5.64, 9.82, 9.67, 10.01, 0.0725, 0.576, 0.42, 0.778, 0.103, 990.8, 990.6, 990.9, 0.0612, 86.5, 85.2, 87.4, 0.5712, 
2020-09-01 08:20:00, WM05, 8.9674, 7.6493, 10.434, 0.5068, 8.8964, 7.6507, 10.1296, 0.5051, 7.587, 6.1118, 9.211, 0.5585, 5.8501, 3.6223, 7.9662, 0.8241, 4.9616, 3.3292, 7.3605, 0.8689, 86.52, 75.32, 100.82, 3.318, 90.82, 66.92, 108.72, 6.287, 9.55, 9.36, 9.8, 0.0987, 0.284, 0.133, 0.42, 0.069, 990.7, 990.6, 990.8, 0.0547, 89.0, 87.1, 90.2, 0.7722, 
2020-09-01 08:30:00, WM05, 9.4934, 7.9587, 11.0528, 0.5291, 9.3983, 7.9606, 10.7493, 0.5336, 7.7482, 6.1118, 9.8309, 0.587, 6.0487, 3.6223, 7.9662, 0.8291, 4.9479, 3.3292, 7.0504, 0.766, 85.02, 70.42, 94.92, 3.478, 88.52, 72.22, 112.22, 6.712, 9.59, 9.46, 9.73, 0.054, 0.368, 0.312, 0.42, 0.03, 990.7, 990.6, 990.8, 0.0506, 89.4, 88.9, 90.0, 0.2259, 
